Product ID,Priduct Name,Purchase Price,Sales Price,
1,Pusti Soybean oil-5 ltr,,660,
2,Pusty Soybean oil-1 ltr,,130,
3,Kings Sunflower Oil-5 ltr,,1295,
4,Kings Sunflower Oil-2 ltr,,540,
5,Fresh Soyabean Oil-3 ltr,,320,
6,Fresh Soyabean Oil-2 ltr,,274,
7,Fresh Soyabean Oil- 1 ltr,,139,
8,Teer Soyabean Oil-8 ltr,,1073,
9,Teer Soyabean oil-3 ltr,,395,
10,Teer Soyabean Oil-1ltr,,139,
11,Rupchanda Soyabean Oil-8 ltr,,1110,
12,Nestle Coffee Mate BIB- 450 gm,,270,
13,Nescafe Classic Coffee (Glass Bottle)- 200 gm,,495,
14,Nescafe Classic Coffee (Glass Bottle)-100 gm,,300,
15,Nescafe Classic Coffee (Glass Bottle)- 50 gm,,165,
16,Nestle Coffee Mate Original (jar)- 400 gm,,270,
17,Pran Mustard oil-500 ml,,120,
18,Radhuni Mustard Oil-1 ltr,,235,
19,Radhuni Mustard Oil-500ml,,125,
20,Bengal Tea Bag-50 pcs,,90,
21,Bengal Tea-100 gm,,57,
22,Bengal tea-200 gm,,110,
23,Bengal Tea-400 gm,,210,
24,Bengal Tea- 50 gm,,28,
25,Bengal tea- 500 gm,,210,
26,Brooke Bond Taza tea-400 gm,,200,
27,Brooke Bond Taza Tea bag-50 pcs,,85,
28,Brooke Bond Taza Tea- 200 gm,,100,
29,Ispahani Blender Choice (green Tea)- 25 pcs,,110,
30,Ispahani Mirzapur Tea bag,,90,
31,Ispahani Mirzapur tea-100 gm,,55,
32,Ispahani Mirzapur tea-400 gm,,210,
33,Ispahani Mirzapur tea-200 gm,,110,
34,Ispahani Zareen Premium-200 gm,,130,
35,Ispahani Zareen Premium-400 gm,,250,
36,Kazi &amp; Kazi green tea bag,,160,
37,Lipton Green Tea Bag Pure & Light,,230,
38,Seylon Gold tea-400 gm,,195,
39,Seylon tea bag,,85,
40,Molfix Baby Diaper Belt 1 New Born 2-5 kg (44 pcs),,1000,            
41,SUPERMOM Baby Diaper Belt S New Born-8 kg (28pcs),,675,
42,Huggies Dry Baby Diaper Newborn Belt Up to 5 kg,,1390,
43,Nannys Baby Diaper Belt 1 New Born 2-5 kg,,1200,
44,Huggies Baby Diaper Ultra Newborn Belt Up to 5 kg,,1480,
45,Savlon Twinkle Baby New Born Diaper Belt S Up to 8 kg (44 pcs),,950,
46,Avonee New Born Baby Diaper Belt 2-5 kg (30pcs),,600,
47,PRAN Chinigura Rice- 2 kg,,247,
48,Fresh Chinigura Rice- 1 kg,,130,
49,Rupchanda Chinigura Premium Aromatic Rice- 1 kg,,130,
50,Khusboo Premium Chinigura Rice- 1 kg,,130,
51,PRAN Nazirshail Rice- 5 kg,,405,
